nohup: ignoring input
[2026-01-25T09:22:40.581Z] [INFO] [STARTUP] Loaded environment with
[2026-01-25T09:22:40.582Z] [INFO] [STARTUP] PATH includes:
[2026-01-25T09:22:40.583Z] [INFO] [STARTUP] API keys loaded:
[2026-01-25T09:22:40.583Z] [INFO] [STARTUP] Voice App URL: http://localhost:3000
[2026-01-25T09:22:40.592Z] [INFO] ================================================================
[2026-01-25T09:22:40.592Z] [INFO] Gemini HTTP API Server
[2026-01-25T09:22:40.593Z] [INFO] ================================================================
[2026-01-25T09:22:40.593Z] [INFO] 
Listening on: http://0.0.0.0:3333
[2026-01-25T09:22:40.593Z] [INFO] Health check: http://localhost:3333/health
[2026-01-25T09:22:40.593Z] [INFO] 
Ready to receive Gemini queries from voice interface.

[2026-01-25T09:25:03.759Z] [INFO] [2026-01-25T09:25:03.759Z] GET /logs
[2026-01-25T09:25:05.770Z] [INFO] [2026-01-25T09:25:05.770Z] GET /health
[2026-01-25T09:25:05.776Z] [INFO] [2026-01-25T09:25:05.776Z] GET /logs
[2026-01-25T09:25:07.768Z] [INFO] [2026-01-25T09:25:07.768Z] GET /logs
[2026-01-25T09:25:09.787Z] [INFO] [2026-01-25T09:25:09.787Z] GET /logs
[2026-01-25T09:25:10.785Z] [INFO] [2026-01-25T09:25:10.785Z] GET /health
[2026-01-25T09:25:11.817Z] [INFO] [2026-01-25T09:25:11.817Z] GET /logs
[2026-01-25T09:25:13.828Z] [INFO] [2026-01-25T09:25:13.828Z] GET /logs
[2026-01-25T09:25:15.849Z] [INFO] [2026-01-25T09:25:15.849Z] GET /health
[2026-01-25T09:25:15.866Z] [INFO] [2026-01-25T09:25:15.866Z] GET /logs
[2026-01-25T09:25:17.893Z] [INFO] [2026-01-25T09:25:17.893Z] GET /logs
[2026-01-25T09:25:19.905Z] [INFO] [2026-01-25T09:25:19.905Z] GET /logs
[2026-01-25T09:25:20.905Z] [INFO] [2026-01-25T09:25:20.905Z] GET /health
[2026-01-25T09:25:21.920Z] [INFO] [2026-01-25T09:25:21.919Z] GET /logs
[2026-01-25T09:25:23.967Z] [INFO] [2026-01-25T09:25:23.967Z] GET /logs
[2026-01-25T09:25:26.061Z] [INFO] [2026-01-25T09:25:26.061Z] GET /health
[2026-01-25T09:25:26.078Z] [INFO] [2026-01-25T09:25:26.078Z] GET /logs
[2026-01-25T09:25:29.055Z] [INFO] [2026-01-25T09:25:29.055Z] GET /logs
[2026-01-25T09:25:31.036Z] [INFO] [2026-01-25T09:25:31.036Z] GET /health
[2026-01-25T09:25:31.062Z] [INFO] [2026-01-25T09:25:31.062Z] GET /logs
[2026-01-25T09:25:33.027Z] [INFO] [2026-01-25T09:25:33.027Z] GET /logs
[2026-01-25T09:25:35.039Z] [INFO] [2026-01-25T09:25:35.039Z] GET /logs
[2026-01-25T09:25:36.116Z] [INFO] [2026-01-25T09:25:36.116Z] GET /health
[2026-01-25T09:25:37.114Z] [INFO] [2026-01-25T09:25:37.114Z] GET /logs
[2026-01-25T09:25:39.140Z] [INFO] [2026-01-25T09:25:39.139Z] GET /logs
[2026-01-25T09:25:41.187Z] [INFO] [2026-01-25T09:25:41.187Z] GET /health
[2026-01-25T09:25:41.268Z] [INFO] [2026-01-25T09:25:41.268Z] GET /logs
[2026-01-25T09:25:43.253Z] [INFO] [2026-01-25T09:25:43.253Z] GET /logs
[2026-01-25T09:25:45.249Z] [INFO] [2026-01-25T09:25:45.249Z] GET /logs
[2026-01-25T09:25:46.262Z] [INFO] [2026-01-25T09:25:46.262Z] GET /health
[2026-01-25T09:25:47.346Z] [INFO] [2026-01-25T09:25:47.345Z] GET /logs
[2026-01-25T09:25:49.062Z] [INFO] [2026-01-25T09:25:49.062Z] GET /health
[2026-01-25T09:25:49.081Z] [INFO] [2026-01-25T09:25:49.081Z] GET /logs
[2026-01-25T09:25:49.400Z] [INFO] [2026-01-25T09:25:49.400Z] GET /logs
[2026-01-25T09:25:51.051Z] [INFO] [2026-01-25T09:25:51.050Z] GET /logs
[2026-01-25T09:25:51.495Z] [INFO] [2026-01-25T09:25:51.495Z] GET /health
[2026-01-25T09:25:51.510Z] [INFO] [2026-01-25T09:25:51.510Z] GET /logs
[2026-01-25T09:25:53.055Z] [INFO] [2026-01-25T09:25:53.055Z] GET /logs
[2026-01-25T09:25:53.500Z] [INFO] [2026-01-25T09:25:53.500Z] GET /logs
[2026-01-25T09:25:54.069Z] [INFO] [2026-01-25T09:25:54.069Z] GET /health
[2026-01-25T09:25:55.076Z] [INFO] [2026-01-25T09:25:55.076Z] GET /logs
[2026-01-25T09:25:55.534Z] [INFO] [2026-01-25T09:25:55.534Z] GET /logs
[2026-01-25T09:25:56.539Z] [INFO] [2026-01-25T09:25:56.539Z] GET /health
[2026-01-25T09:25:57.072Z] [INFO] [2026-01-25T09:25:57.072Z] GET /logs
[2026-01-25T09:25:57.538Z] [INFO] [2026-01-25T09:25:57.538Z] GET /logs
[2026-01-25T09:25:59.111Z] [INFO] [2026-01-25T09:25:59.111Z] GET /health
[2026-01-25T09:25:59.120Z] [INFO] [2026-01-25T09:25:59.119Z] GET /logs
[2026-01-25T09:25:59.542Z] [INFO] [2026-01-25T09:25:59.542Z] GET /logs
[2026-01-25T09:26:01.183Z] [INFO] [2026-01-25T09:26:01.182Z] GET /logs
[2026-01-25T09:26:01.550Z] [INFO] [2026-01-25T09:26:01.550Z] GET /health
[2026-01-25T09:26:01.558Z] [INFO] [2026-01-25T09:26:01.558Z] GET /logs
[2026-01-25T09:26:03.177Z] [INFO] [2026-01-25T09:26:03.177Z] GET /logs
[2026-01-25T09:26:03.552Z] [INFO] [2026-01-25T09:26:03.552Z] GET /logs
[2026-01-25T09:26:04.188Z] [INFO] [2026-01-25T09:26:04.188Z] GET /health
